Category,LLM_Normalized_Score,Human_Normalized_Score,Normalized_Score_Difference
achievement,0.00893934019155729,0.004953560371517028,0.0039857798200402614
affection,0.0028024122029088328,0.0017847386632671644,0.0010176735396416683
aggression,0.00535650940049663,0.0035330540885084682,0.0018234553119881622
air_travel,0.005250088683930472,0.005900564560189401,-0.0006504758762589284
alcohol,0.0009223128769067045,0.0007648879985430705,0.00015742487836363397
ancient,0.0008868393047179851,0.0016754689491895829,-0.0007886296444715978
anger,0.0011706278822277403,0.001238390092879257,-6.77622106515167e-05
animal,0.0024831500532103584,0.0032416681843015845,-0.0007585181310912261
anonymity,0.000177367860943597,0.0003278091422327445,-0.00015044128128914748
anticipation,0.003334515785739624,0.0013476598069568386,0.0019868559787827858
appearance,0.0010996807378503015,0.0035330540885084682,-0.0024333733506581665
art,0.0031926214969847464,0.001966854853396467,0.0012257666435882796
attractive,0.0008868393047179851,0.002476780185758514,-0.001589940881040529
banking,0.01010996807378503,0.012529593880896011,-0.0024196258071109804
beach,0.004647037956722242,0.008559460936077217,-0.003912422979354975
beauty,0.002731465058531394,0.001894008377344746,0.000837456681186648
blue_collar_job,0.00046115643845335224,0.0004735020943361865,-1.2345655882834241e-05
body,0.0021638879035118836,0.00218539428155163,-2.1506378039746338e-05
breaking,0.006420716566158212,0.005135676561646331,0.0012850400045118816
business,0.031642426392337705,0.02855581861227463,0.003086607780063075
car,0.0052855622561191916,0.004953560371517028,0.0003320018846021634
celebration,0.00415040794608017,0.00655618284465489,-0.00240577489857472
cheerfulness,0.0006030507272082299,0.0006920415224913495,-8.899079528311958e-05
childish,0.0005675771550195105,0.001821161901293025,-0.0012535847462735146
children,0.0030507272082298687,0.005244946275723912,-0.002194219067494043
cleaning,0.0030152536360411493,0.00509925332362047,-0.0020839996875793203
clothing,0.0007449450159631075,0.0017118921872154435,-0.000966947171252336
cold,0.04760553387726144,0.02983063194317975,0.017774901934081693
college,0.0095069173465768,0.008231651793844472,0.001275265552732328
communication,0.015182688896771905,0.01242032416681843,0.002762364729953474
competing,0.007307555870876197,0.0036059005645601894,0.0037016553063160076
computer,0.0031926214969847464,0.00364232380258605,-0.00044970230560130355
confusion,0.0023412557644554807,0.003205244946275724,-0.0008639891818202432
contentment,0.0015608371763036538,0.0013476598069568386,0.00021317736934681523
cooking,0.0015253636041149344,0.0021125478054999087,-0.0005871842013849744
crime,0.004682511528910961,0.0070661081770169365,-0.002383596648105975
dance,0.0006385242993969493,0.001238390092879257,-0.0005998657934823077
death,0.004682511528910961,0.0029502822800947003,0.001732229248816261
deception,0.0012061014544164598,0.001602622473137862,-0.0003965210187214022
disappointment,0.0031216743526073076,0.0021489710435257693,0.0009727033090815383
disgust,0.0009577864490954239,0.0008377344745947914,0.00012005197450063246
dispute,0.009897126640652714,0.009907120743034056,-9.994102381342268e-06
divine,0.001135154310039021,0.001529775997086141,-0.0003946216870471201
domestic_work,0.0022348350478893224,0.0023310872336550718,-9.625218576574937e-05
dominant_heirarchical,0.007343029443064916,0.005718448370060098,0.0016245810730048183
dominant_personality,0.0018091521816246895,0.001019850664724094,0.0007893015169005955
driving,0.0047534586732884,0.0063012201784738665,-0.0015477615051854663
eating,0.0017027314650585315,0.002549626661810235,-0.0008468951967517033
economics,0.02859169918410784,0.02629757785467128,0.0022941213294365576
emotional,0.0021638879035118836,0.002549626661810235,-0.00038573875829835125
envy,0.0011706278822277403,0.0005827718084137679,0.0005878560738139724
exasperation,0.000532103582830791,0.0006920415224913495,-0.00015993793966055843
exercise,0.0010287335934728626,0.001602622473137862,-0.0005738888796649993
exotic,0.0020574671869457253,0.0030231287561464214,-0.0009656615692006962
fabric,0.0008158921603405463,0.0016390457111637225,-0.0008231535508231762
family,0.0027669386307201133,0.004297942087051539,-0.0015310034563314253
farming,0.004434196523589925,0.002768166089965398,0.0016660304336245275
fashion,0.0015963107484923732,0.001238390092879257,0.00035792065561311617
fear,0.004505143667967364,0.002549626661810235,0.0019555170061571294
feminine,0.00014189428875487761,0.0006191950464396285,-0.00047730075768475093
fight,0.008797445902802412,0.005317792751775633,0.003479653151026779
fire,0.003689251507626818,0.005244946275723912,-0.001555694768097094
friends,0.0016317843206810926,0.0027317428519395373,-0.0010999585312584446
fun,0.002021993614757006,0.0016754689491895829,0.00034652466556742297
furniture,0.000177367860943597,0.000874157712620652,-0.000696789851677055
gain,0.01958141184817311,0.00943361864869787,0.010147793199475242
giving,0.01606952820148989,0.01311236568930978,0.00295716251218011
government,0.025966654842142604,0.02411218357311965,0.0018544712690229531
hate,0.0010996807378503015,0.0019304316153706065,-0.000830750877520305
healing,0.005640297978006385,0.005900564560189401,-0.00026026658218301565
health,0.004008513657325292,0.003860863230741213,0.0001476504265840793
hearing,0.0036537779354380985,0.004625751229284283,-0.0009719732938461849
help,0.011599858105711245,0.010781278455654708,0.0008185796500565362
heroic,0.00478893224547712,0.003788016754689492,0.0010009154907876278
hiking,0.001312522170982618,0.0011291203788016755,0.0001834017921809425
hipster,0.0017736786094359701,0.001602622473137862,0.00017105613629810816
home,0.001844625753813409,0.0033509378983791658,-0.0015063121445657568
horror,0.0005675771550195105,0.001019850664724094,-0.00045227350970458355
hygiene,0.0022348350478893224,0.0015661992351120014,0.000668635812777321
independence,0.005533877261440227,0.0050628300855946095,0.0004710471758456172
injury,0.007839659453706987,0.007393917319249681,0.00044574213445730624
internet,0.0039020929407591345,0.0058641413221635404,-0.001962048381404406
irritability,0.0006030507272082299,0.00036423238025860496,0.00023881834694962492
journalism,0.0056048244058176655,0.006993261700965216,-0.0013884372951475507
joy,0.001418942887548776,0.000947004188672373,0.0004719386988764031
kill,0.003476410074494502,0.0026588963758878165,0.0008175136986066853
law,0.011599858105711245,0.012820979785102896,-0.001221121679391651
leader,0.010216388790351189,0.009542888362775451,0.0006735004275757375
legend,0.00297978006385243,0.002476780185758514,0.0005029998780939158
leisure,0.002695991486342675,0.002841012566017119,-0.00014502107967444408
liquid,0.0008868393047179851,0.0034602076124567475,-0.0025733683077387623
listen,0.0035828307910606596,0.0033509378983791658,0.00023189289268149386
love,0.005143667967364314,0.0031688217082498633,0.0019748462591144505
lust,0.0022348350478893224,0.001384083044982699,0.0008507520029066235
magic,0.002908832919474991,0.0019304316153706065,0.0009784013041043845
masculine,0.0009223128769067045,0.0016390457111637225,-0.000716732834257018
medical_emergency,0.003689251507626818,0.003569477326534329,0.0001197741810924891
medieval,0.0008158921603405463,0.0004006556182844655,0.00041523654205608083
meeting,0.010393756651294786,0.011582589692223639,-0.0011888330409288526
messaging,0.0062788222774033346,0.005244946275723912,0.0010338760016794226
military,0.004505143667967364,0.004917137133491167,-0.0004119934655238029
money,0.028130542745654488,0.03270806774722273,-0.004577525001568241
monster,0.00042568286626463287,0.0006191950464396285,-0.00019351218017499565
morning,0.0020929407591344447,0.0018575851393188853,0.00023535561981555936
movement,0.0071301880099326,0.007211801129120379,-8.161311918777892e-05
music,0.003973040085136573,0.0034602076124567475,0.0005128324726798254
musical,0.003228095069173466,0.002549626661810235,0.000678468407363231
negative_emotion,0.006243348705214615,0.009287925696594427,-0.003044576991379812
neglect,0.002270308620078042,0.0017118921872154435,0.0005584164328625984
negotiate,0.003618304363249379,0.006082680750318703,-0.002464376387069324
nervousness,0.003157147924796027,0.0022946639956292116,0.0008624839291668154
night,0.000354735721887194,0.000509925332362047,-0.00015518961047485298
noise,0.0012770485987938986,0.001748315425241304,-0.00047126682644740544
occupation,0.0033699893579283435,0.0036787470406119105,-0.000308757682683567
ocean,0.004576090812344803,0.008850846840284102,-0.004274756027939299
office,0.0029443064916637104,0.005572755417956657,-0.0026284489262929462
optimism,0.010500177367860944,0.006483336368603169,0.004016840999257775
order,0.0018800993260021284,0.0036059005645601894,-0.001725801238558061
pain,0.0028024122029088328,0.0038244399927153524,-0.0010220277898065197
party,0.005001773678609436,0.007794572937534147,-0.002792799258924711
payment,0.008832919474991131,0.01970497177199053,-0.010872052296999397
pet,0.00021284143313231643,0.000947004188672373,-0.0007341627555400565
philosophy,0.0020929407591344447,0.0025860498998360954,-0.0004931091407016507
phone,0.005533877261440227,0.004407211801129121,0.0011266654603111059
plant,0.006988293721177722,0.005208523037698052,0.0017797706834796704
play,0.002731465058531394,0.002476780185758514,0.0002546848727728798
politeness,0.001489890031926215,0.0009834274266982334,0.0005064626052279815
politics,0.006881873004611565,0.008923693316335822,-0.0020418203117242573
poor,0.006456190138346932,0.007648879985430705,-0.0011926898470837732
positive_emotion,0.006065980844271018,0.005936987798215262,0.00012899304605575642
power,0.007662291592763391,0.006119103988344564,0.0015431876044188272
pride,0.0037247250798155373,0.0013476598069568386,0.0023770652728586986
prison,0.0013479957431713375,0.0022218175195774905,-0.000873821776406153
programming,0.0023412557644554807,0.004297942087051539,-0.001956686322596058
rage,0.0011706278822277403,0.0009834274266982334,0.0001872004555295069
reading,0.003405462930117063,0.004443635039154981,-0.001038172109037918
real_estate,0.008974813763746009,0.010963394645784011,-0.001988580882038002
religion,0.0022348350478893224,0.0025860498998360954,-0.000351214851946773
restaurant,0.0015253636041149344,0.0016390457111637225,-0.00011368210704878817
ridicule,3.5473572188719404e-05,0.0004735020943361865,-0.00043802852214746706
royalty,0.0017736786094359701,0.0023310872336550718,-0.0005574086242191017
rural,0.004434196523589925,0.004407211801129121,2.6984722460804585e-05
sadness,0.005817665838949982,0.003569477326534329,0.0022481885124156532
sailing,0.003689251507626818,0.00801311236568931,-0.004323860858062491
school,0.00826534231997162,0.009360772172646149,-0.0010954298526745284
science,0.010854913089748138,0.008268075031870332,0.002586838057877806
sexual,0.0006385242993969493,0.0009105809506465125,-0.0002720566512495632
shame,0.002270308620078042,0.0024403569477326535,-0.00017004832765461168
shape_and_size,0.0052855622561191916,0.007357494081223821,-0.0020719318251046295
ship,0.004434196523589925,0.007903842651611728,-0.003469646128021802
shopping,0.0039375665129478534,0.005791294846111819,-0.0018537283331639658
sleep,0.00042568286626463287,0.0020761245674740486,-0.0016504417012094157
smell,0.000532103582830791,0.0009105809506465125,-0.00037847736781572146
social_media,0.0019865200425682864,0.0029138590420688397,-0.0009273389995005533
sound,0.0011706278822277403,0.0012019668548533965,-3.1338972625656126e-05
speaking,0.00886839304717985,0.010526315789473684,-0.0016579227422938332
sports,0.004256828662646328,0.0054999089419049355,-0.0012430802792586073
stealing,0.0022348350478893224,0.004589327991258423,-0.002354492943369101
strength,0.009223128769067045,0.0086687306501548,0.0005543981189122457
suffering,0.007591344448385952,0.0042615188490256785,0.003329825599360274
superhero,0.00014189428875487761,0.00014569295210344199,-3.7986633485643715e-06
surprise,0.0008513657325292657,0.0009105809506465125,-5.921521811724675e-05
swearing_terms,7.094714437743881e-05,0.0003278091422327445,-0.0002568619978553057
swimming,0.0029443064916637104,0.006519759606629029,-0.0035754531149653187
sympathy,0.0020574671869457253,0.0019304316153706065,0.00012703557157511878
technology,0.007059240865555161,0.006920415224913495,0.000138825640641666
terrorism,0.009045760908123448,0.00659260608268075,0.0024531548254426976
timidity,0.0006385242993969493,0.001019850664724094,-0.0003813263653271447
tool,0.001418942887548776,0.001384083044982699,3.485984256607717e-05
torment,0.0010287335934728626,0.000874157712620652,0.00015457588085221062
tourism,0.0037601986520042568,0.0038972864687670736,-0.00013708781676281681
toy,0.0024831500532103584,0.002258240757603351,0.00022490929560700732
traveling,0.008797445902802412,0.009142232744490985,-0.0003447868416885727
trust,0.006456190138346932,0.007758149699508286,-0.0013019595611613545
ugliness,3.5473572188719404e-05,0.0004006556182844655,-0.00036518204609574606
urban,0.007378503015253636,0.0058641413221635404,0.0015143616930900954
vacation,0.0046115643845335225,0.008595884174103077,-0.003984319789569555
valuable,0.009258602341255764,0.020579129484611183,-0.011320527143355418
vehicle,0.00415040794608017,0.005427062465853214,-0.0012766545197730444
violence,0.008691025186236254,0.008304498269896194,0.00038652691634005927
war,0.006065980844271018,0.004844290657439446,0.001221690186831572
warmth,0.05044341965235899,0.03223456565288654,0.018208853999472446
water,0.00592408655551614,0.009652158076853032,-0.0037280715213368915
weakness,0.0037247250798155373,0.0023310872336550718,0.0013936378461604656
wealthy,0.0062788222774033346,0.009178655982516847,-0.002899833705113512
weapon,0.001738205037247251,0.001966854853396467,-0.00022864981614921596
weather,0.05065626108549131,0.030959752321981424,0.019696508763509885
wedding,0.0058531394111387015,0.006155527226370424,-0.0003023878152317227
white_collar_job,0.0019510464703795672,0.004552904753232562,-0.002601858282852995
work,0.014047534586732883,0.013039519213258058,0.001008015373474825
worship,0.001312522170982618,0.001311236568930978,1.2856020516400536e-06
writing,0.0006385242993969493,0.002258240757603351,-0.0016197164582064019
youth,0.0004966300106420716,0.0020032780914223274,-0.001506648080780256
zest,0.0016317843206810926,0.0006191950464396285,0.0010125892742414641
